,Does he have health probems ?,Does he have social family problems?,Is there a variation between his real qualifications and its results?,Does he have any difficulties?,Does your child avoid activities that require reading to complete?,he ?it fast/slow while reading ?,"When reading aloud, does your child repeat words, change their order, or mix up similar letters (?\ or ?\? or ?\? or p/b or f/v or k/g/jÉ) without notice?",Does he have trouble reading unknown words?,Does he face difficulty understanding what he read?,Does he reflect numbers? {Ex 81 -> 18},Does he have trouble writing numbers clearly and distinctly from letters?,Does he make misspellings in his homework?,Is he having trouble writing on the line and inside the margins?,Does he have a problem copying?,Does it confuse symbols and/or mathematical operations?,Does he have trouble comparing the relative size of integers and/or fractions?,Does he have difficulties with concepts related to time and/or money?,Is it difficult to understand the statement of calculations and solve it?,Is he having difficulties in calculating? {Facing problems in performing arithmetic operations such as addition and subtraction ...},Is he having trouble maintaining attention for more than 15 minutes?,It takes a long time to complete simple tasks?,Does he have a hard time bearing boredom or strenuous tasks?,TypeTrouble
281,Yeah,Yeah,No,In all materials,Rarely / never,Fast,Sometimes,Rarely / never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Type_dyscalculie
282,No,No,No,In particular article,Sometimes,Fast,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Sometimes,Sometimes,Sometimes,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Concentration
283,No,Yeah,Yeah,In all materials,Rarely / never,Fast,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Concentration
284,No,Yeah,No,In all materials,Repeatedly / always,Average,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Concentration
285,No,No,Yeah,In particular article,Sometimes,Fast,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Concentration
286,Yeah,Yeah,No,In all materials,Repeatedly / always,Average,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Concentration
287,Yeah,No,No,In all materials,Repeatedly / always,Average,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Rarely / never,Type_dysgraphie
288,Yeah,No,Yeah,In particular article,Rarely / never,Average,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Concentration
289,Yeah,Yeah,Yeah,In particular article,Repeatedly / always,Average,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Type_dyslexie
290,Yeah,No,Yeah,In particular article,Sometimes,Slow,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Type_dyslexie
291,No,No,Yeah,In particular article,Sometimes,Fast,Sometimes,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Type_dyscalculie
292,No,No,No,In all materials,Sometimes,Slow,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Concentration
293,No,Yeah,Yeah,In all materials,Sometimes,Fast,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Sometimes,Sometimes,Type_dysgraphie
294,Yeah,Yeah,Yeah,In all materials,Rarely / never,Slow,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Type_dyslexie
295,Yeah,No,No,In all materials,Sometimes,Average,Sometimes,Sometimes,Rarely / never,Sometimes,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Concentration
296,No,No,Yeah,In all materials,Rarely / never,Fast,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Type_dyscalculie
297,No,No,Yeah,In all materials,Repeatedly / always,Slow,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Rarely / never,Type_dysgraphie
298,No,No,Yeah,In particular article,Rarely / never,Average,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Type_dyscalculie
299,No,No,No,In particular article,Sometimes,Slow,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Type_dysgraphie
300,Yeah,No,Yeah,In all materials,Sometimes,Slow,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Sometimes,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Concentration
301,Yeah,Yeah,No,In particular article,Repeatedly / always,Slow,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Type_dyscalculie
302,Yeah,Yeah,No,In all materials,Repeatedly / always,Slow,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Type_dyslexie
303,No,Yeah,No,In particular article,Repeatedly / always,Fast,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Sometimes,Rarely / never,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Type_dyslexie
304,No,Yeah,Yeah,In particular article,Repeatedly / always,Average,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Type_dyslexie
305,Yeah,Yeah,No,In particular article,Sometimes,Slow,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Type_dyslexie
306,Yeah,No,Yeah,In all materials,Sometimes,Slow,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Concentration
307,No,Yeah,Yeah,In particular article,Rarely / never,Average,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Rarely / never,Sometimes,Rarely / never,Rarely / never,Sometimes,Sometimes,Sometimes,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Type_dyscalculie
308,No,Yeah,Yeah,In all materials,Repeatedly / always,Average,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Type_dyslexie
309,Yeah,No,No,In all materials,Repeatedly / always,Fast,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Type_dyscalculie
310,No,No,No,In all materials,Sometimes,Fast,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Type_dyslexie
311,No,No,Yeah,In particular article,Repeatedly / always,Average,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Type_dyslexie
312,Yeah,No,Yeah,In all materials,Repeatedly / always,Fast,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Sometimes,Concentration
313,No,No,No,In particular article,Sometimes,Average,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Sometimes,Sometimes,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Type_dyslexie
314,Yeah,No,Yeah,In particular article,Sometimes,Slow,Rarely / never,Sometimes,Sometimes,Sometimes,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Rarely / never,Sometimes,Type_dysgraphie
315,No,Yeah,Yeah,In all materials,Sometimes,Average,Sometimes,Rarely / never,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Type_dyscalculie
316,Yeah,No,No,In particular article,Repeatedly / always,Fast,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Rarely / never,Type_dyslexie
317,No,Yeah,No,In all materials,Repeatedly / always,Slow,Sometimes,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Type_dyslexie
318,Yeah,No,No,In particular article,Rarely / never,Average,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Concentration
319,Yeah,No,Yeah,In particular article,Sometimes,Average,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Concentration
320,No,Yeah,Yeah,In particular article,Repeatedly / always,Average,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Sometimes,Sometimes,Sometimes,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Type_dyslexie
321,Yeah,No,Yeah,In particular article,Sometimes,Average,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Type_dysgraphie
322,No,Yeah,Yeah,In all materials,Sometimes,Slow,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Type_dysgraphie
323,Yeah,Yeah,No,In particular article,Rarely / never,Slow,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Type_dysgraphie
324,Yeah,Yeah,No,In all materials,Sometimes,Fast,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Sometimes,Sometimes,Type_dysgraphie
325,No,No,No,In all materials,Sometimes,Average,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Type_dyscalculie
326,No,Yeah,Yeah,In particular article,Sometimes,Fast,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Type_dysgraphie
327,Yeah,Yeah,No,In all materials,Sometimes,Average,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Sometimes,Type_dyslexie
328,No,Yeah,No,In all materials,Sometimes,Fast,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Sometimes,Rarely / never,Rarely / never,Sometimes,Type_dyslexie
329,Yeah,No,Yeah,In particular article,Rarely / never,Fast,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Type_dyscalculie
330,Yeah,No,No,In all materials,Sometimes,Fast,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Sometimes,Type_dyslexie
331,No,No,No,In particular article,Repeatedly / always,Average,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Concentration
332,No,No,No,In particular article,Rarely / never,Fast,Sometimes,Rarely / never,Sometimes,Rarely / never,Sometimes,Sometimes,Rarely / never,Sometimes,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Rarely / never,Type_dysgraphie
333,No,Yeah,Yeah,In all materials,Sometimes,Fast,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Type_dyslexie
334,Yeah,No,Yeah,In all materials,Rarely / never,Fast,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Concentration
335,Yeah,No,Yeah,In particular article,Sometimes,Average,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely / never,Type_dysgraphie
336,Yeah,No,Yeah,In particular article,Sometimes,Fast,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Rarely / never,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Type_dysgraphie
337,Yeah,Yeah,Yeah,In all materials,Rarely / never,Fast,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Type_dysgraphie
